f1,gmean,bacc,auc,brier,ece,dataset,seed,IR,IR_actual,n_min,n_syn,method,H,n_channels,length,M,n_select,tau,clf,energy_syn,mmd_syn,disp_ratio,accept,secs,guard,guard_mode,guard_fired,guard_amt,rho_before,rho_after
0.3283582089552239,0.5016901780809141,0.6198524538197747,0.857986801533097,0.04908149019607844,0.07159215686274509,Handwriting,0,5,14.0,10,130,guide=gpf | walk=aligned | guard-trim,0.218,3,152,1.7999999999999998,64,2.0,rf,2.9736799219986683,0.1956772742318239,1.4488304671541032,0.0655241935483871,10.1,1.0,trim,0.0,0.0,1.45,1.45
0.2891566265060241,0.5190250951202375,0.6221866804991211,0.8443560704302469,0.055657660130718954,0.08031764705882354,Handwriting,0,5,14.0,10,130,guide=sig | walk=aligned,0.218,3,152,1.7999999999999998,64,2.0,rf,1.890148442890899,0.13761736349922715,0.8599940862526472,0.23897058823529413,2.6,0.0,,,,,
0.2891566265060241,0.5190250951202375,0.6221866804991211,0.8443560704302469,0.055657660130718954,0.08031764705882354,Handwriting,0,5,14.0,10,130,guide=sig | walk=aligned | guard-shrink,0.218,3,152,1.7999999999999998,64,2.0,rf,1.890148442890899,0.13761736349922715,0.8599940862526472,0.23897058823529413,3.5,1.0,shrink,0.0,1.0,0.86,0.86
0.2891566265060241,0.5190250951202375,0.6221866804991211,0.8443560704302469,0.055657660130718954,0.08031764705882354,Handwriting,0,5,14.0,10,130,guide=sig | walk=aligned | guard-trim,0.218,3,152,1.7999999999999998,64,2.0,rf,1.890148442890899,0.13761736349922715,0.8599940862526472,0.23897058823529413,4.3,1.0,trim,0.0,0.0,0.86,0.86
0.0,0.0,0.49814126394052044,0.8507247629751304,0.04204938562091504,0.01556078431372549,Handwriting,0,10,14.0,10,130,none,0.218,3,152,1.7999999999999998,64,2.0,rf,,,,,,,,,,,
0.2033898305084746,0.3712220722443836,0.5635716549955333,0.8801763637935506,0.04561849673202614,0.051635294117647064,Handwriting,0,10,14.0,10,130,SMOTE-raw,0.218,3,152,1.7999999999999998,64,2.0,rf,1.2986029747646715,0.12989256903734347,0.5115003653938537,,,,,,,,
0.3235294117647059,0.5013741527405271,0.6192328751332814,0.8655802426443041,0.050868352941176476,0.08025490196078434,Handwriting,0,10,14.0,10,130,guide=gpf | walk=aligned,0.218,3,152,1.7999999999999998,64,2.0,rf,2.7506762630055945,0.1674213556233295,1.5768731945422485,0.07965686274509803,6.5,0.0,,,,,
0.3235294117647059,0.5013741527405271,0.6192328751332814,0.8655802426443041,0.050868352941176476,0.08025490196078434,Handwriting,0,10,14.0,10,130,guide=gpf | walk=aligned | guard-shrink,0.218,3,152,1.7999999999999998,64,2.0,rf,2.7506762630055945,0.1674213556233295,1.5768731945422485,0.07965686274509803,7.3,1.0,shrink,0.0,1.0,1.58,1.58
0.3235294117647059,0.5013741527405271,0.6192328751332814,0.8655802426443041,0.050868352941176476,0.08025490196078434,Handwriting,0,10,14.0,10,130,guide=gpf | walk=aligned | guard-trim,0.218,3,152,1.7999999999999998,64,2.0,rf,2.7506762630055945,0.1674213556233295,1.5768731945422485,0.07965686274509803,8.1,1.0,trim,0.0,0.0,1.58,1.58
0.21333333333333335,0.42486883843070467,0.5781533673381171,0.850465404455203,0.05126070588235294,0.06658039215686275,Handwriting,0,10,14.0,10,130,guide=sig | walk=aligned,0.218,3,152,1.7999999999999998,64,2.0,rf,1.9183805424331375,0.14379488209327695,0.8302828173665024,0.22569444444444445,2.5,0.0,,,,,
0.21333333333333335,0.42486883843070467,0.5781533673381171,0.850465404455203,0.05126070588235294,0.06658039215686275,Handwriting,0,10,14.0,10,130,guide=sig | walk=aligned | guard-shrink,0.218,3,152,1.7999999999999998,64,2.0,rf,1.9183805424331375,0.14379488209327695,0.8302828173665024,0.22569444444444445,3.3,1.0,shrink,0.0,1.0,0.83,0.83
0.21333333333333335,0.42486883843070467,0.5781533673381171,0.850465404455203,0.05126070588235294,0.06658039215686275,Handwriting,0,10,14.0,10,130,guide=sig | walk=aligned | guard-trim,0.218,3,152,1.7999999999999998,64,2.0,rf,1.9183805424331375,0.14379488209327695,0.8302828173665024,0.22569444444444445,4.1,1.0,trim,0.0,0.0,0.83,0.83
0.0425531914893617,0.15221485181647873,0.5097691709172646,0.7507852799631136,0.04326935947712418,0.02051764705882353,Handwriting,0,20,20.0,7,133,none,0.218,3,152,1.5999999999999999,64,2.0,rf,,,,,,,,,,,
0.2222222222222222,0.4002103132876757,0.5733408259127979,0.7468949021642028,0.04896147712418301,0.0325607843137255,Handwriting,0,20,20.0,7,133,SMOTE-raw,0.218,3,152,1.5999999999999999,64,2.0,rf,2.294175401163768,0.2043917084591792,0.5288964552075496,,,,,,,,
0.2545454545454545,0.4022214330540261,0.5782974554047434,0.7716348232039423,0.043893111111111105,0.022207843137254893,Handwriting,0,20,20.0,7,133,guide=gpf | walk=aligned,0.218,3,152,1.5999999999999999,64,2.0,rf,4.645871067258007,0.3498174503483915,0.4177416392607958,0.04889705882352941,10.8,0.0,,,,,
0.2545454545454545,0.4022214330540261,0.5782974554047434,0.7716348232039423,0.043893111111111105,0.022207843137254893,Handwriting,0,20,20.0,7,133,guide=gpf | walk=aligned | guard-shrink,0.218,3,152,1.5999999999999999,64,2.0,rf,4.645871067258007,0.3498174503483915,0.4177416392607958,0.04889705882352941,11.6,1.0,shrink,0.0,1.0,0.42,0.42
0.2545454545454545,0.4022214330540261,0.5782974554047434,0.7716348232039423,0.043893111111111105,0.022207843137254893,Handwriting,0,20,20.0,7,133,guide=gpf | walk=aligned | guard-trim,0.218,3,152,1.5999999999999999,64,2.0,rf,4.645871067258007,0.3498174503483915,0.4177416392607958,0.04889705882352941,12.4,1.0,trim,0.0,0.0,0.42,0.42
0.14035087719298245,0.3031015527524445,0.5403158410420449,0.8013601913489526,0.04951511111111111,0.03589019607843137,Handwriting,0,20,20.0,7,133,guide=sig | walk=aligned,0.218,3,152,1.5999999999999999,64,2.0,rf,3.1265675658944456,0.2418108117306068,0.6374898875462598,0.04889705882352941,13.0,0.0,,,,,
0.14035087719298245,0.3031015527524445,0.5403158410420449,0.8013601913489526,0.04951511111111111,0.03589019607843137,Handwriting,0,20,20.0,7,133,guide=sig | walk=aligned | guard-shrink,0.218,3,152,1.5999999999999999,64,2.0,rf,3.1265675658944456,0.2418108117306068,0.6374898875462598,0.04889705882352941,13.8,1.0,shrink,0.0,1.0,0.64,0.64
0.14035087719298245,0.3031015527524445,0.5403158410420449,0.8013601913489526,0.04951511111111111,0.03589019607843137,Handwriting,0,20,20.0,7,133,guide=sig | walk=aligned | guard-trim,0.218,3,152,1.5999999999999999,64,2.0,rf,3.1265675658944456,0.2418108117306068,0.6374898875462598,0.04889705882352941,14.6,1.0,trim,0.0,0.0,0.64,0.64
0.0425531914893617,0.15221485181647873,0.5097691709172646,0.8457681334831849,0.04244905882352941,0.019580392156862744,Handwriting,1,5,14.0,10,130,none,0.218,3,152,1.7999999999999998,64,2.0,rf,,,,,,,,,,,
0.2153846153846154,0.3997059522639935,0.5721016685398116,0.8844845969856776,0.04650959477124183,0.054619607843137255,Handwriting,1,5,14.0,10,130,SMOTE-raw,0.218,3,152,1.7999999999999998,64,2.0,rf,1.2490909964142283,0.12461308343940769,0.5506872061257249,,,,,,,,
0.4117647058823529,0.5666952292870892,0.6559753321229935,0.8627561165384283,0.04985639215686275,0.08014117647058824,Handwriting,1,5,14.0,10,130,guide=gpf | walk=aligned,0.218,3,152,1.7999999999999998,64,2.0,rf,2.720613294803128,0.1800543531415988,1.4673706283518793,0.06885593220338983,8.5,0.0,,,,,
0.4117647058823529,0.5666952292870892,0.6559753321229935,0.8627561165384283,0.04985639215686275,0.08014117647058824,Handwriting,1,5,14.0,10,130,guide=gpf | walk=aligned | guard-shrink,0.218,3,152,1.7999999999999998,64,2.0,rf,2.720613294803128,0.1800543531415988,1.4673706283518793,0.06885593220338983,9.3,1.0,shrink,0.0,1.0,1.47,1.47
0.4117647058823529,0.5666952292870892,0.6559753321229935,0.8627561165384283,0.04985639215686275,0.08014117647058824,Handwriting,1,5,14.0,10,130,guide=gpf | walk=aligned | guard-trim,0.218,3,152,1.7999999999999998,64,2.0,rf,2.720613294803128,0.1800543531415988,1.4673706283518793,0.06885593220338983,10.1,1.0,trim,0.0,0.0,1.47,1.47
0.2465753424657534,0.45150392762734676,0.5916400103743408,0.868721362496758,0.050583947712418295,0.0700549019607843,Handwriting,1,5,14.0,10,130,guide=sig | walk=aligned,0.218,3,152,1.7999999999999998,64,2.0,rf,1.8110483471126262,0.13780139584985895,0.786288008377442,0.25390625,1.9,0.0,,,,,
0.2465753424657534,0.45150392762734676,0.5916400103743408,0.868721362496758,0.050583947712418295,0.0700549019607843,Handwriting,1,5,14.0,10,130,guide=sig | walk=aligned | guard-shrink,0.218,3,152,1.7999999999999998,64,2.0,rf,1.8110483471126262,0.13780139584985895,0.786288008377442,0.25390625,2.7,1.0,shrink,0.0,1.0,0.79,0.79
0.2465753424657534,0.45150392762734676,0.5916400103743408,0.868721362496758,0.050583947712418295,0.0700549019607843,Handwriting,1,5,14.0,10,130,guide=sig | walk=aligned | guard-trim,0.218,3,152,1.7999999999999998,64,2.0,rf,1.8110483471126262,0.13780139584985895,0.786288008377442,0.25390625,3.5,1.0,trim,0.0,0.0,0.79,0.79
0.0425531914893617,0.15221485181647873,0.5097691709172646,0.8248609550157056,0.042388797385620916,0.018898039215686273,Handwriting,1,10,14.0,10,130,none,0.218,3,152,1.7999999999999998,64,2.0,rf,,,,,,,,,,,
0.2191780821917808,0.4254111090259168,0.5793925247111034,0.8738508976686551,0.048052,0.05807058823529411,Handwriting,1,10,14.0,10,130,SMOTE-raw,0.218,3,152,1.7999999999999998,64,2.0,rf,1.1593544724233968,0.11385502856812102,0.5700624987252846,,,,,,,,
0.3142857142857143,0.5007415037153656,0.6179937177602951,0.8512146624016599,0.05191737254901961,0.08278823529411763,Handwriting,1,10,14.0,10,130,guide=gpf | walk=aligned,0.218,3,152,1.7999999999999998,64,2.0,rf,2.6809225780551067,0.17057494399443374,1.41941390993935,0.08290816326530612,5.5,0.0,,,,,
0.3142857142857143,0.5007415037153656,0.6179937177602951,0.8512146624016599,0.05191737254901961,0.08278823529411763,Handwriting,1,10,14.0,10,130,guide=gpf | walk=aligned | guard-shrink,0.218,3,152,1.7999999999999998,64,2.0,rf,2.6809225780551067,0.17057494399443374,1.41941390993935,0.08290816326530612,6.3,1.0,shrink,0.0,1.0,1.42,1.42
0.3142857142857143,0.5007415037153656,0.6179937177602951,0.8512146624016599,0.05191737254901961,0.08278823529411763,Handwriting,1,10,14.0,10,130,guide=gpf | walk=aligned | guard-trim,0.218,3,152,1.7999999999999998,64,2.0,rf,2.6809225780551067,0.17057494399443374,1.41941390993935,0.08290816326530612,7.1,1.0,trim,0.0,0.0,1.42,1.42
0.2972972972972973,0.4994738016721337,0.6155154030143224,0.8605659779257082,0.05275354248366013,0.07408627450980393,Handwriting,1,10,14.0,10,130,guide=sig | walk=aligned,0.218,3,152,1.7999999999999998,64,2.0,rf,1.8510905696679014,0.13456110291576007,0.8930246011032568,0.23897058823529413,1.9,0.0,,,,,
0.2972972972972973,0.4994738016721337,0.6155154030143224,0.8605659779257082,0.05275354248366013,0.07408627450980393,Handwriting,1,10,14.0,10,130,guide=sig | walk=aligned | guard-shrink,0.218,3,152,1.7999999999999998,64,2.0,rf,1.8510905696679014,0.13456110291576007,0.8930246011032568,0.23897058823529413,2.7,1.0,shrink,0.0,1.0,0.89,0.89
0.2972972972972973,0.4994738016721337,0.6155154030143224,0.8605659779257082,0.05275354248366013,0.07408627450980393,Handwriting,1,10,14.0,10,130,guide=sig | walk=aligned | guard-trim,0.218,3,152,1.7999999999999998,64,2.0,rf,1.8510905696679014,0.13456110291576007,0.8930246011032568,0.23897058823529413,3.5,1.0,trim,0.0,0.0,0.89,0.89
0.0,0.0,0.4993804213135068,0.7769804904757788,0.042499620915032676,0.009815686274509803,Handwriting,1,20,20.0,7,133,none,0.218,3,152,1.7999999999999998,64,2.0,rf,,,,,,,,,,,
0.26229508196721313,0.42865032667885117,0.5868274689490216,0.8509697126883952,0.04511585620915033,0.03961176470588235,Handwriting,1,20,20.0,7,133,SMOTE-raw,0.218,3,152,1.7999999999999998,64,2.0,rf,1.8156383695364635,0.18339679898151284,0.48488751071810804,,,,,,,,
0.18518518518518517,0.3397271572419313,0.5544220627647618,0.8589089651595054,0.04071166013071895,0.033403921568627454,Handwriting,1,20,20.0,7,133,guide=gpf | walk=aligned,0.218,3,152,1.7999999999999998,64,2.0,rf,3.6196944707990273,0.21579001945963228,1.5227990373649496,0.04889705882352941,10.6,0.0,,,,,
0.18518518518518517,0.3397271572419313,0.5544220627647618,0.8589089651595054,0.04071166013071895,0.033403921568627454,Handwriting,1,20,20.0,7,133,guide=gpf | walk=aligned | guard-shrink,0.218,3,152,1.7999999999999998,64,2.0,rf,3.6196944707990273,0.21579001945963228,1.5227990373649496,0.04889705882352941,11.4,1.0,shrink,0.0,1.0,1.52,1.52
0.18518518518518517,0.3397271572419313,0.5544220627647618,0.8589089651595054,0.04071166013071895,0.033403921568627454,Handwriting,1,20,20.0,7,133,guide=gpf | walk=aligned | guard-trim,0.218,3,152,1.7999999999999998,64,2.0,rf,3.6196944707990273,0.21579001945963228,1.5227990373649496,0.04889705882352941,12.1,1.0,trim,0.0,0.0,1.52,1.52
0.21052631578947367,0.3716875546494899,0.5648108123685196,0.8370652142589551,0.04779371241830065,0.04918039215686275,Handwriting,1,20,20.0,7,133,guide=sig | walk=aligned,0.218,3,152,1.7999999999999998,64,2.0,rf,3.361374288543681,0.2554402188583267,0.6976386703248139,0.259765625,1.5,0.0,,,,,
0.21052631578947367,0.3716875546494899,0.5648108123685196,0.8370652142589551,0.04779371241830065,0.04918039215686275,Handwriting,1,20,20.0,7,133,guide=sig | walk=aligned | guard-shrink,0.218,3,152,1.7999999999999998,64,2.0,rf,3.361374288543681,0.2554402188583267,0.6976386703248139,0.259765625,2.3,1.0,shrink,0.0,1.0,0.7,0.7
