f1,gmean,bacc,auc,brier,ece,dataset,seed,IR,IR_actual,n_min,n_syn,method,H,n_channels,length,M,n_select,tau,clf,energy_syn,mmd_syn,disp_ratio,accept,secs,guard,guard_fired,guard_c,rho_before,rho_after
0.5901639344262295,0.6469966392206306,0.7076193390452876,0.9767290750562885,0.18835528750896996,0.2641777092728383,ItalyPowerDemand,0,20,8.2,4,29,none,0.645,1,24,1.5999999999999999,64,2.0,ridge,,,,,,,,,,
0.38819875776397517,0.4907457658320445,0.6160184051860919,0.912728364839748,0.2227932836626714,0.27890508584386137,ItalyPowerDemand,0,20,8.2,4,29,SMOTE-raw,0.645,1,24,1.5999999999999999,64,2.0,rf,2.6812741906186695,0.24379068445951724,0.527706811436563,,,,,,,
0.7822014051522248,0.8013986217675203,0.8187531166417334,0.9685011408797619,0.1251696678535153,0.1756798589843823,ItalyPowerDemand,0,20,8.2,4,29,SMOTE-raw,0.645,1,24,1.5999999999999999,64,2.0,ridge,2.6812741906186695,0.24379068445951724,0.527706811436563,,,,,,,
0.3894080996884735,0.49170707089793736,0.6179563896822159,0.9047592063707935,0.2209765360112299,0.2703628117913832,ItalyPowerDemand,0,20,8.2,4,29,guide=gpf | walk=plain,0.645,1,24,1.5999999999999999,64,2.0,rf,3.137077482964397,0.26626202271673705,0.4870150350949349,0.453125,0.2,0.0,,,,
0.8139797068771139,0.8282359171301055,0.8392549526270456,0.9609003127974975,0.11687906000900429,0.1489829820441788,ItalyPowerDemand,0,20,8.2,4,29,guide=gpf | walk=plain,0.645,1,24,1.5999999999999999,64,2.0,ridge,3.137077482964397,0.26626202271673705,0.4870150350949349,0.453125,0.2,0.0,,,,
0.3894080996884735,0.49170707089793736,0.6179563896822159,0.9047592063707935,0.2209765360112299,0.2703628117913832,ItalyPowerDemand,0,20,8.2,4,29,guide=gpf | walk=plain | guard,0.645,1,24,1.5999999999999999,64,2.0,rf,3.137077482964397,0.26626202271673705,0.4870150350949349,0.453125,0.9,1.0,0.0,1.0,0.49,0.49
0.8139797068771139,0.8282359171301055,0.8392549526270456,0.9609003127974975,0.11687906000900429,0.1489829820441788,ItalyPowerDemand,0,20,8.2,4,29,guide=gpf | walk=plain | guard,0.645,1,24,1.5999999999999999,64,2.0,ridge,3.137077482964397,0.26626202271673705,0.4870150350949349,0.453125,0.9,1.0,0.0,1.0,0.49,0.49
0.6952264381884945,0.7294851826458404,0.7574232739471418,0.9316624355894042,0.151319997840406,0.17937479753806285,ItalyPowerDemand,0,20,8.2,4,29,guide=gpf | walk=aligned,0.645,1,24,1.5999999999999999,64,2.0,rf,3.3528416145093143,0.23878345589230843,0.8709718582253498,0.453125,0.1,0.0,,,,
0.8079911209766926,0.8225261419995309,0.8315200145065507,0.946669537754809,0.12403009319117125,0.14127710477989816,ItalyPowerDemand,0,20,8.2,4,29,guide=gpf | walk=aligned,0.645,1,24,1.5999999999999999,64,2.0,ridge,3.3528416145093143,0.23878345589230843,0.8709718582253498,0.453125,0.1,0.0,,,,
0.6952264381884945,0.7294851826458404,0.7574232739471418,0.9316624355894042,0.151319997840406,0.17937479753806285,ItalyPowerDemand,0,20,8.2,4,29,guide=gpf | walk=aligned | guard,0.645,1,24,1.5999999999999999,64,2.0,rf,3.3528416145093143,0.23878345589230843,0.8709718582253498,0.453125,0.9,1.0,0.0,1.0,0.87,0.87
