dataset,seed,M,L_k,disp_walk,disp_filtered,accept,energy,f1,gmean
GunPoint,0,1.1,0.5800286456921812,0.4662233447317155,0.15515112368840414,0.1939655172413793,3.3702339316903007,0.8913043478260869,0.8964373932405988
GunPoint,0,1.4,0.8751304282600822,0.7742388387373029,0.20361606897736562,0.26011560693641617,3.0636541138383997,0.9484536082474226,0.9495261976375375
GunPoint,0,1.7,1.3073026835835393,1.170267342533501,0.2464817958998314,0.3237410071942446,2.902328471493334,0.9690721649484536,0.9695359714832658
GunPoint,0,2.0,1.9958847736625516,1.7426181054333176,0.280897642386926,0.4166666666666667,2.883344752852288,0.9484536082474226,0.9495261976375375
GunPoint,0,2.3,3.2369064364971187,2.637947735695315,0.32974053272203946,0.44554455445544555,2.865930449521933,0.98,0.98
GunPoint,0,2.6,5.845308394087244,4.096386230932015,0.4081896425758814,0.5232558139534884,2.848560606134395,0.96,0.96
GunPoint,1,0.5,0.25403485082304533,0.08262902449506965,0.12911511722203256,0.11306532663316583,2.7624264908935547,0.8888888888888888,0.8944271909999159
GunPoint,1,0.8,0.3713136458798354,0.21896957811896908,0.08405960582496723,0.156794425087108,3.2163012805412254,0.8235294117647058,0.8366600265340756
GunPoint,1,1.1,0.5800286456921812,0.45308375479656937,0.07234520998585742,0.22842639593908629,3.46529401686821,0.8235294117647058,0.8366600265340756
GunPoint,1,1.4,0.8751304282600822,0.7211609734991513,0.07449851545701831,0.2777777777777778,3.5445070358092483,0.8505747126436781,0.8602325267042626
GunPoint,1,1.7,1.3073026835835393,1.0442208970018756,0.10713803703602036,0.2777777777777778,3.348680852473297,0.8505747126436781,0.8602325267042626
GunPoint,1,2.0,1.9958847736625516,1.5256368708852293,0.12522260911358069,0.2922077922077922,3.348523237144933,0.8372093023255814,0.848528137423857
GunPoint,1,2.3,3.2369064364971187,2.4198117613027432,0.22414240978053437,0.33088235294117646,2.9483158234466913,0.9010989010989011,0.9055385138137416
GunPoint,1,2.6,5.845308394087244,4.3239646183099225,0.3642737175928522,0.3515625,2.58316081479132,0.9148936170212766,0.9180413934022801
GunPoint,2,0.5,0.25403485082304533,0.09526330014283639,0.017147263453381727,0.30612244897959184,4.662793525103806,0.75,0.7745966692414834
GunPoint,2,0.8,0.3713136458798354,0.24727612835403867,0.014219547559883352,0.4945054945054945,4.906091354446465,0.7012987012987013,0.7348469228349535
GunPoint,2,1.1,0.5800286456921812,0.5219139947375455,0.1361934293412945,0.5487804878048781,3.977598354976376,0.8505747126436781,0.8602325267042626
GunPoint,2,1.4,0.8751304282600822,0.8546827891400404,0.19073653432566046,0.5555555555555556,3.6327246592790328,0.8764044943820225,0.8831760866327847
