f1,gmean,bacc,auc,dataset,seed,IR,IR_actual,n_min,n_syn,method,H,ref_energy,energy_syn,disp_ratio,accept,M
0.5,0.678550552028035,0.7177140305837706,0.8849201919857127,JapaneseVowels,1,10,10.0,29,261,KNNOR-GPF (M calibrated),0.839,1.771546814552714,1.9817816959543855,0.41291794601516457,0.17069980379332897,2.1999999999999997
0.3684210526315789,0.4751909633114914,0.6129032258064516,0.9886706105592142,JapaneseVowels,1,20,20.7,14,276,none (raw-flat RF),0.839,3.61618250676527,,,,
0.0625,0.1796053020267749,0.5161290322580645,0.8803437883692377,JapaneseVowels,1,20,20.7,14,276,none,0.839,3.61618250676527,,,,
0.4857142857142857,0.7117874445534347,0.7361312646500726,0.8679540127246345,JapaneseVowels,1,20,20.7,14,276,SMOTE-raw,0.839,3.61618250676527,1.7622634494732985,0.5278731140142942,,
0.4533333333333333,0.7050912708222626,0.7274807456189307,0.8506529746623507,JapaneseVowels,1,20,20.7,14,276,KNNOR-raw (M=1),0.839,3.61618250676527,2.033080504880566,0.27336991407707234,0.989247311827957,
0.20512820512820512,0.3567160557895969,0.5575957138073446,0.890612791606206,JapaneseVowels,1,20,20.7,14,276,chain-mean-GPF (PSSTO-style),0.839,3.61618250676527,2.913462230214165,0.4676310712306677,,
0.058823529411764705,0.17898275144640438,0.5126688246456078,0.8854224801875209,JapaneseVowels,1,20,20.7,14,276,KNNOR-GPF (M=1),0.839,3.61618250676527,6.820507860876784,0.03233596808814395,0.04955116696588869,1.0
0.1111111111111111,0.25267847440937086,0.5270677530974439,0.8829668489786807,JapaneseVowels,1,20,20.7,14,276,KNNOR-GPF (M=3/2),0.839,3.61618250676527,6.404346752438581,0.07338522461043047,0.04955116696588869,1.5
0.22727272727272727,0.39601204345899876,0.5668043308404956,0.8803437883692377,JapaneseVowels,1,20,20.7,14,276,KNNOR-GPF (M calibrated),0.839,3.61618250676527,3.8749048576356806,0.3668723860170575,0.09533678756476684,2.1999999999999997
0.8888888888888888,0.8944271909999159,0.9,0.9989080459770114,JapaneseVowels,2,5,9.3,31,258,none (raw-flat RF),0.839,1.6353361745545811,,,,
0.21052631578947367,0.36262136295806296,0.5597701149425287,0.8914367816091955,JapaneseVowels,2,5,9.3,31,258,none,0.839,1.6353361745545811,,,,
0.5060240963855421,0.7891505690865687,0.7948275862068965,0.9181034482758621,JapaneseVowels,2,5,9.3,31,258,SMOTE-raw,0.839,1.6353361745545811,1.105844606468672,0.4970295145860376,,
0.631578947368421,0.859831579338411,0.8620689655172413,0.9243103448275863,JapaneseVowels,2,5,9.3,31,258,KNNOR-raw (M=1),0.839,1.6353361745545811,2.430973938195823,0.29458153058221737,0.9961389961389961,
0.45454545454545453,0.573354717591046,0.6597701149425287,0.8903448275862069,JapaneseVowels,2,5,9.3,31,258,chain-mean-GPF (PSSTO-style),0.839,1.6353361745545811,1.4783183914165257,0.5194337063867619,,
0.35,0.48054088299528175,0.6114942528735632,0.9103448275862068,JapaneseVowels,2,5,9.3,31,258,KNNOR-GPF (M=1),0.839,1.6353361745545811,3.2745901340934296,0.17948566611295783,0.12616136919315404,1.0
0.5333333333333333,0.6291757059562275,0.6948275862068966,0.9173563218390806,JapaneseVowels,2,5,9.3,31,258,KNNOR-GPF (M=3/2),0.839,1.6353361745545811,2.759112311305156,0.29324449854176327,0.10483543275091427,1.5
0.5,0.6258786926641892,0.6896551724137931,0.9053448275862069,JapaneseVowels,2,5,9.3,31,258,KNNOR-GPF (M calibrated),0.839,1.6353361745545811,2.44208101644082,0.537961147753348,0.14844649021864212,2.1999999999999997
0.8888888888888888,0.8944271909999159,0.9,0.9983908045977011,JapaneseVowels,2,10,10.0,29,260,none (raw-flat RF),0.839,1.8635972081844532,,,,
0.16216216216216217,0.31403931227661996,0.5431034482758621,0.9000574712643677,JapaneseVowels,2,10,10.0,29,260,none,0.839,1.8635972081844532,,,,
0.5063291139240507,0.7745966692414834,0.7833333333333333,0.9038505747126437,JapaneseVowels,2,10,10.0,29,260,SMOTE-raw,0.839,1.8635972081844532,1.1250311688359478,0.45661566975372175,,
0.5714285714285714,0.7878385971583354,0.7988505747126436,0.9158045977011494,JapaneseVowels,2,10,10.0,29,260,KNNOR-raw (M=1),0.839,1.8635972081844532,2.181777194243315,0.34163512819959785,1.0,
0.2857142857142857,0.4425630677830192,0.5896551724137931,0.8919540229885057,JapaneseVowels,2,10,10.0,29,260,chain-mean-GPF (PSSTO-style),0.839,1.8635972081844532,1.5293810939776886,0.48315035364911596,,
0.35,0.48054088299528175,0.6114942528735632,0.9181609195402299,JapaneseVowels,2,10,10.0,29,260,KNNOR-GPF (M=1),0.839,1.8635972081844532,3.697736547028496,0.3225043145828861,0.19490254872563717,1.0
0.2631578947368421,0.4061311718344606,0.5781609195402299,0.916896551724138,JapaneseVowels,2,10,10.0,29,260,KNNOR-GPF (M=3/2),0.839,1.8635972081844532,4.208081971291451,0.5730144978643555,0.15513126491646778,1.5
0.46511627906976744,0.5743562113107722,0.6614942528735632,0.9078735632183909,JapaneseVowels,2,10,10.0,29,260,KNNOR-GPF (M calibrated),0.839,1.8635972081844532,4.28054598096899,0.76452144266405,0.17543859649122806,2.0
0.5,0.5773502691896257,0.6666666666666666,0.9864367816091953,JapaneseVowels,2,20,20.6,14,275,none (raw-flat RF),0.839,5.069517868115367,,,,
0.0625,0.18225913092242513,0.5149425287356322,0.8558045977011494,JapaneseVowels,2,20,20.6,14,275,none,0.839,5.069517868115367,,,,
