f1,gmean,bacc,auc,brier,ece,dataset,seed,IR,IR_actual,n_min,n_syn,method,H,ref_energy,n_feat,n_channels,length,energy_syn,mmd_syn,disp_ratio,accept,M
0.358974358974359,0.4744895740534575,0.6114282995527642,0.9187363212484536,0.04771330330330331,0.02536036036036036,JapaneseVowels,1,20,20.0,12,228,KNNOR-official-GPF (randmx=M*),0.85,3.324083231072894,64.0,12.0,29.0,13.796642948210444,0.43023248278381787,0.6623828943993608,0.2547486033519553,2.0
0.4583333333333333,0.5903883285877917,0.6685697973165858,0.8891426396422114,0.05417144144144144,0.05150450450450451,JapaneseVowels,1,20,20.0,12,228,KNNOR-official-raw (randmx=1),0.85,3.324083231072894,64.0,12.0,29.0,3.2699734962664557,0.15023356582545078,0.28773229458335103,1.0,1.0
0.2564102564102564,0.39982868155399487,0.5762203825292607,0.9119802074412409,0.050362282282282275,0.04250450450450451,JapaneseVowels,1,20,20.0,12,228,hybrid GPF-nbrs/raw-walk (M raw-calibrated),0.85,3.324083231072894,64.0,12.0,29.0,25.236927917024087,0.518837855979663,1.599563262352952,0.22265625,1.6
0.7843137254901961,0.8032193289024988,0.8225806451612903,0.9981444476163288,0.021678858858858858,0.053279279279279286,JapaneseVowels,2,5,8.0,30,210,none (raw-flat RF),0.85,1.1441592751073664,,,,,,,,
0.4528301886792453,0.6129257624655972,0.678799124559901,0.9118374726424969,0.05319933933933934,0.053297297297297305,JapaneseVowels,2,5,8.0,30,210,none,0.85,1.1441592751073664,64.0,12.0,29.0,,,,,
0.5252525252525253,0.8572040270167722,0.8574079360548101,0.9252069654581787,0.09078339339339338,0.16281981981981983,JapaneseVowels,2,5,8.0,30,210,SMOTE-raw,0.85,1.1441592751073664,64.0,12.0,29.0,1.8556608727298567,0.08303926863503852,0.4940802409700779,,
0.5483870967741935,0.7250791970813644,0.7535445808354744,0.9120753639737369,0.061224204204204206,0.06933333333333333,JapaneseVowels,2,5,8.0,30,210,chain-mean-GPF (PSSTO-style),0.85,1.1441592751073664,64.0,12.0,29.0,1.5094206689376755,0.0797740366724714,0.4927584151399194,,
0.509090909090909,0.6620354889855774,0.7110571890760301,0.9162622514035589,0.05857648648648649,0.06447747747747747,JapaneseVowels,2,5,8.0,30,210,KNNOR-GPF (M=1),0.85,1.1441592751073664,64.0,12.0,29.0,3.114342023266751,0.2766852193539787,0.18478145386197697,0.20854021847070506,1.0
0.5625,0.7449516074997184,0.7681986868398516,0.9194024169759254,0.06233141141141141,0.0805945945945946,JapaneseVowels,2,5,8.0,30,210,KNNOR-GPF (M calibrated),0.85,1.1441592751073664,64.0,12.0,29.0,1.9886148411399418,0.11570101686572898,0.42216152777200366,0.1855123674911661,2.0
0.5588235294117647,0.7618134231508623,0.7799029403368541,0.9161195166048148,0.06293846846846848,0.0675045045045045,JapaneseVowels,2,5,8.0,30,210,hybrid GPF-nbrs/raw-walk (M calibrated),0.85,1.1441592751073664,64.0,12.0,29.0,11.086141052155739,0.20328745925729097,4.986583147195848,0.328125,2.0
